Name;Autor;publikationsdatum;Reisedaten;gesamtseitenzahl;Digitalisat;Zitierfähige URL
Pitoreskische Reisen durch Sachsen oder Naturschönheiten sächsischer Gegenden auf einer gesellschaftlichen Reise;Johann Jacob Brückner;1800;Kein Eintrag vorhanden;342;ULB Halle;https://reise.isgv.de/logs/Q109943928
Pitoreskische Reisen durch Sachsen oder Naturschönheiten sächsischer Gegenden auf einer gesellschaftlichen Reise;Johann Jacob Brückner;1800;Kein Eintrag vorhanden;342;ULB Halle;https://reise.isgv.de/logs/Q109943928
Schönheiten der Natur und Kunst dargestellt auf einer Reise durch einen Theil der Sächsischen Staaten;Kein Eintrag vorhanden;1801;Kein Eintrag vorhanden;642;SLUB Dresden;https://reise.isgv.de/logs/Q109944163
Schönheiten der Natur und Kunst dargestellt auf einer Reise durch einen Theil der Sächsischen Staaten;Kein Eintrag vorhanden;1801;Kein Eintrag vorhanden;642;SLUB Dresden;https://reise.isgv.de/logs/Q109944163
Schönheiten der Natur und Kunst dargestellt auf einer Reise durch einen Theil der Sächsischen Staaten;Kein Eintrag vorhanden;1801;Kein Eintrag vorhanden;642;SLUB Dresden;https://reise.isgv.de/logs/Q109944163
Schönheiten der Natur und Kunst dargestellt auf einer Reise durch einen Theil der Sächsischen Staaten;Kein Eintrag vorhanden;1801;Kein Eintrag vorhanden;642;SLUB Dresden;https://reise.isgv.de/logs/Q109944163
Reise durch Deutschland, Dänemark, Schweden, Norwegen und einen Theil von Italien, in den Jahren 1797, 1798, 1799;Carl Gottlob Küttner;1801;1797 bis 1799;1671;BSB München;https://reise.isgv.de/logs/Q109944008
Reise durch Deutschland, Dänemark, Schweden, Norwegen und einen Theil von Italien, in den Jahren 1797, 1798, 1799;Carl Gottlob Küttner;1801;1797 bis 1799;1671;BSB München;https://reise.isgv.de/logs/Q109944008
Meine Freuden in Sachsen;Christian Kosegarten;1801;Kein Eintrag vorhanden;227;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944004
Meine Freuden in Sachsen;Christian Kosegarten;1801;Kein Eintrag vorhanden;227;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944004
Meine Freuden in Sachsen;Christian Kosegarten;1801;Kein Eintrag vorhanden;227;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944004
Meine Freuden in Sachsen;Christian Kosegarten;1801;Kein Eintrag vorhanden;227;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944004
Spaziergang nach Syrakus;Johann Gottfried Seume;1803;Kein Eintrag vorhanden;491;BSB München;https://reise.isgv.de/logs/Q109944085
Oeconomische und statistische Reisen durch Chursachsen und dessen angränzende Länder;Lüder Hermann Hans von Engel;1803;Kein Eintrag vorhanden;232;SLUB Dresden;https://reise.isgv.de/logs/Q109943948
Reise von Dresden nach Prag und zurück. Nebst einer Beschreibung der Stadt Prag;Kein Eintrag vorhanden;1804;Kein Eintrag vorhanden;66;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944154
Reise von Dresden nach Prag und zurück. Nebst einer Beschreibung der Stadt Prag;Kein Eintrag vorhanden;1804;Kein Eintrag vorhanden;66;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944154
Reise von Dresden nach Prag und zurück. Nebst einer Beschreibung der Stadt Prag;Kein Eintrag vorhanden;1804;Kein Eintrag vorhanden;66;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944154
Reisen durch einen Theil Deutschlands vorzüglich durch Sachsen, Thüringen, Franken etc.;Kein Eintrag vorhanden;1805;Kein Eintrag vorhanden;196;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944162
Reisen durch einen Theil Deutschlands vorzüglich durch Sachsen, Thüringen, Franken etc.;Kein Eintrag vorhanden;1805;Kein Eintrag vorhanden;196;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944162
Reise durch Kursachsen in die Oberlausitz nach den evangelischen Brüdergemeinorten Barby, Gnadau, Herrnhut, Niesky und Kleinwelka;Johann Gebhard Maaß;1805;Kein Eintrag vorhanden;467;SLUB Dresden;https://reise.isgv.de/logs/Q109944020
Fußreise durch Sachsen und dessen romantische Schweizergegenden, einen Theil der Anhaltschen, Brandenburg und Braunschweigschen Lande nach Hannover;Christoph Wilhelm Lohmann;1805;1804;287;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944017
